State,Model,MAE,RMSE
Alabama,SARIMA,33451336.421217274,36972180.694626085
Arizona,SARIMA,32958449.275640022,35995953.49002406
Arkansas,SARIMA,14159675.422448557,15728782.70103411
California,SARIMA,144506797.79020053,164294537.57473114
Colorado,SARIMA,19277946.046026748,21851728.404658392
Connecticut,SARIMA,8529113.14640182,9621937.36401869
Florida,SARIMA,83872507.85927239,92772916.60468781
Georgia,SARIMA,42734158.73453175,46434467.60166766
Illinois,SARIMA,38544378.49327064,43640358.526926704
Indiana,SARIMA,25086281.47853029,27629844.65891703
Iowa,SARIMA,16249197.484854843,17941410.808240842
Kansas,SARIMA,10711030.2511999,11745967.484994235
Kentucky,SARIMA,20212615.95993304,22147287.68136336
Louisiana,SARIMA,26907143.9418389,30076234.183380336
Maine,SARIMA,6459222.606652284,7156517.418161271
Maryland,SARIMA,15135301.784918098,17033409.419870406
Massachusetts,SARIMA,17181428.396250032,19668845.014913846
Michigan,SARIMA,32192167.977711707,35978442.75936419
Minnesota,SARIMA,17158620.780291576,18890394.31548606
Mississippi,SARIMA,16590952.480415517,18291302.356361516
Missouri,SARIMA,23379220.867533527,25466852.241806008
Nebraska,SARIMA,5281317.55886829,5816724.613326195
Nevada,SARIMA,18685226.013061076,20821399.805344906
New Hampshire,SARIMA,6431636.805311849,7237872.800427911
New Mexico,SARIMA,9728335.175699377,10781194.004922612
New York,SARIMA,43586601.115305685,48811160.02976958
North Carolina,SARIMA,43972106.41662704,48207670.64674195
Ohio,SARIMA,46619224.502340935,52053025.763467066
Oklahoma,SARIMA,15371522.544685064,17037576.025259245
Oregon,SARIMA,24370548.340163533,26658965.523949936
Pennsylvania,SARIMA,28077142.99856182,31106446.001311854
Rhode Island,SARIMA,3821057.684129218,4203921.581455784
South Carolina,SARIMA,25268848.836289223,27465016.346108716
South Dakota,SARIMA,4139669.192256715,4519590.371406459
Tennessee,SARIMA,27874927.534630448,30419953.428513642
Texas,SARIMA,119535525.61531635,132807694.9472853
Utah,SARIMA,15262248.731867166,17015320.74543442
Vermont,SARIMA,2489084.9153591134,2730898.417150412
Virginia,SARIMA,34661831.08799343,37747980.09399996
Washington,SARIMA,33041344.33639699,36417537.460145555
West Virginia,SARIMA,7015451.097041482,7541562.662661366
Wisconsin,SARIMA,23659156.988089614,26002206.361453217
Wyoming,SARIMA,4274370.53329061,4735204.995778767
Alabama,Prophet,5863418.074943701,6930770.427437876
Arizona,Prophet,9135175.689613627,10435869.435545301
Arkansas,Prophet,2998921.7405056027,3606141.7802643073
California,Prophet,24422584.62906648,29176975.99854204
Colorado,Prophet,6466984.664814299,7738475.665527627
Connecticut,Prophet,4069275.13796361,5007299.394017393
Florida,Prophet,26523727.53228625,31569704.514620792
Georgia,Prophet,11057597.55140708,12709503.467861576
Illinois,Prophet,12408077.930381734,14235814.607860595
Indiana,Prophet,5405098.987307287,6548754.453105146
Iowa,Prophet,2852483.5395615785,3433673.324823603
Kansas,Prophet,2068026.1538250938,2538590.190765212
Kentucky,Prophet,4113529.739116518,5275139.330582515
Louisiana,Prophet,6600453.516212705,7420294.849002458
Maine,Prophet,2848525.2113547972,3839857.6738453545
Maryland,Prophet,5906113.339877098,7346466.976820466
Massachusetts,Prophet,8045387.155542884,9638047.732465805
Michigan,Prophet,10689272.810410365,12875292.384148665
Minnesota,Prophet,4537136.780588189,5758525.761012579
Mississippi,Prophet,24601624.901871465,24885982.60039667
Missouri,Prophet,5570218.794992412,7004545.708019048
Nebraska,Prophet,9043196.978970325,9153353.178963793
Nevada,Prophet,3007437.388839849,3646557.9771447303
New Hampshire,Prophet,2488421.136034316,3086892.8511801087
New Mexico,Prophet,2273479.387945737,2828881.4823323945
New York,Prophet,19500511.693229754,24536224.13767412
North Carolina,Prophet,16276695.848647678,18900985.123758893
Ohio,Prophet,10531924.120677426,12523667.174984941
Oklahoma,Prophet,4451095.088419104,5388170.290559017
Oregon,Prophet,3635083.426343438,4273377.817475868
Pennsylvania,Prophet,12032761.519285228,15137741.974349359
Rhode Island,Prophet,996489.3092821001,1233075.314277238
South Carolina,Prophet,7065173.950216786,8331395.278753838
South Dakota,Prophet,1084506.0254071867,1452808.802673457
Tennessee,Prophet,8614225.401831025,10494100.141704857
Texas,Prophet,36321897.1655531,41666799.62325183
Utah,Prophet,3278178.193208805,4043472.5100249057
Vermont,Prophet,825934.0144319403,1105206.9030014216
Virginia,Prophet,7904882.87511314,9907775.05180641
Washington,Prophet,5983531.503315122,7168141.480586456
West Virginia,Prophet,1972028.9143429727,2434451.9069880303
Wisconsin,Prophet,4619825.531290662,5667545.518503841
Wyoming,Prophet,844572.1587161091,1068215.358301077
Alabama,XGBoost,4904829.113674621,6616437.337343986
Arizona,XGBoost,16918421.789130438,19290479.4230972
Arkansas,XGBoost,2992127.241725104,3778926.606564146
California,XGBoost,18346223.252173897,23847770.80201747
Colorado,XGBoost,2993453.72194951,3814010.39887807
Connecticut,XGBoost,3066970.3633941086,3475633.570432772
Florida,XGBoost,65927458.31739126,74424741.51859272
Georgia,XGBoost,12523820.49782608,14655219.297206296
Illinois,XGBoost,10495185.685320234,14334566.306774773
Indiana,XGBoost,4848458.803997202,7137944.604191093
Iowa,XGBoost,2059304.1133239856,2508124.156634265
Kansas,XGBoost,3152401.2478260878,3591703.773312712
Kentucky,XGBoost,4859331.636956527,5923701.188472422
Louisiana,XGBoost,9668053.139948575,11936973.166282149
Maine,XGBoost,1389720.9975455825,1760071.5764742813
Maryland,XGBoost,4294561.128120617,5632263.078157326
Massachusetts,XGBoost,5342695.412973351,6893538.842011184
Michigan,XGBoost,7962712.371926125,9258387.8733725
Minnesota,XGBoost,3074209.7751753214,3683118.091888606
Mississippi,XGBoost,2174905.060729317,2703412.6644617473
Missouri,XGBoost,4292764.254978963,6373308.692476671
Nebraska,XGBoost,1814419.708695652,1967914.2567439298
Nevada,XGBoost,2799565.9043478295,3295627.5692895832
New Hampshire,XGBoost,1517387.836021507,1835161.8075979475
New Mexico,XGBoost,2374704.542987382,3223282.7221452575
New York,XGBoost,11510981.901893418,14278093.140858278
North Carolina,XGBoost,8948654.08793831,11911802.88097136
Ohio,XGBoost,10769209.81072932,13989832.19775626
Oklahoma,XGBoost,2752164.324216926,3220200.571305403
Oregon,XGBoost,3860383.5798737705,4384709.113665467
Pennsylvania,XGBoost,9109038.045044411,10941533.35276625
Rhode Island,XGBoost,621366.2206171108,825448.8387747485
South Carolina,XGBoost,5425601.131486675,6503254.682764572
South Dakota,XGBoost,730802.4266012163,939608.8026355384
Tennessee,XGBoost,6987058.274403933,8128209.472951132
Texas,XGBoost,19835607.66458627,24871698.8712051
Utah,XGBoost,1810950.1440392684,2041811.6080169373
Vermont,XGBoost,536440.0739130429,664889.3752120521
Virginia,XGBoost,8303743.514749914,10903800.443512935
Washington,XGBoost,6171810.391654982,7343672.174975315
West Virginia,XGBoost,3559232.8565217387,4175501.571815381
Wisconsin,XGBoost,3900798.6056100996,4622363.669436806
Wyoming,XGBoost,536343.9760869568,634781.3831274053
Alabama,LSTM,7991547.207575769,8953753.694405925
Arizona,LSTM,7826820.215909099,9442123.602319852
Arkansas,LSTM,3864492.184848482,4353948.964657544
California,LSTM,26651447.897727262,29965641.210559238
Colorado,LSTM,5514337.093181815,6131849.151369794
Connecticut,LSTM,1353928.1522727222,2007688.545725541
Florida,LSTM,14386512.607844545,21054284.13684484
Georgia,LSTM,18062919.80681818,19156250.178549685
Illinois,LSTM,9177609.85378787,10544879.307472782
Indiana,LSTM,3626452.939393949,5537981.369052934
Iowa,LSTM,1713081.6195014631,3042248.506621382
Kansas,LSTM,2190205.922727272,2926720.7935978584
Kentucky,LSTM,2257550.2613636404,3914593.9602326797
Louisiana,LSTM,5056266.992424242,6438806.502227748
Maine,LSTM,650277.09469697,913427.4571514742
Maryland,LSTM,2137756.4598484724,3897946.0551012224
Massachusetts,LSTM,5877794.731818173,7262389.29672991
Michigan,LSTM,15039614.384848498,15903452.10404432
Minnesota,LSTM,2599463.6022727457,3876182.969482521
Mississippi,LSTM,1636377.5525659807,3088348.1402145606
Missouri,LSTM,7058505.78484849,8474944.689819071
Nebraska,LSTM,1521349.564393939,2107027.619835918
Nevada,LSTM,1944169.6219697013,2981003.6029304275
New Hampshire,LSTM,2826250.929545458,2988561.5262996587
New Mexico,LSTM,4388736.463636369,4597505.823121648
New York,LSTM,10324306.29772728,13965385.400812445
North Carolina,LSTM,7658513.936363668,8940664.268750357
Ohio,LSTM,4460956.465298142,6460287.579505409
Oklahoma,LSTM,3088460.44015152,3285033.3150931783
Oregon,LSTM,2632127.61136364,3833353.490298598
Pennsylvania,LSTM,6516219.586363635,8953387.422032017
Rhode Island,LSTM,360014.8818181818,560706.2008823387
South Carolina,LSTM,5635536.184090909,6733742.442348094
South Dakota,LSTM,1175217.9886363614,1314004.6845463174
Tennessee,LSTM,3331740.790909101,5510868.713264754
Texas,LSTM,11379518.052272748,19814347.246160623
