State,Model,MAE,RMSE
Alabama,LSTM,2589761.7194525837,4673000.79488337
Arizona,LSTM,8840024.579545463,10180291.49988678
Arkansas,LSTM,2863736.7136363615,3460728.7317400062
California,XGBoost,15837018.867882174,18828800.721999373
Colorado,XGBoost,1858047.1566386172,2757373.409969045
Connecticut,SARIMA,2902286.7281694734,3279940.4926654706
Florida,LSTM,11077571.917815221,19720170.57286315
Georgia,LSTM,7422632.670454544,9635774.896344708
Illinois,XGBoost,10118271.533380073,13306907.19809988
Indiana,Prophet,5405098.987307287,6548754.453105146
Iowa,XGBoost,1753561.738055168,2176007.5995258754
Kansas,LSTM,1694900.1045454538,2524231.5485589155
Kentucky,XGBoost,3795547.62054699,5088463.700018351
Louisiana,Prophet,6600453.516212705,7420294.849002458
Maine,LSTM,621383.1856060609,870754.5300324042
Maryland,XGBoost,4345316.8845021045,5368672.120902081
Massachusetts,LSTM,4012458.586070373,5395729.647476938
Michigan,LSTM,7311714.877272734,8539993.44129185
Minnesota,XGBoost,2918728.1217391463,3463788.914753152
Mississippi,XGBoost,2228380.6106591905,2819810.711026155
Missouri,LSTM,2989247.474486806,5586273.520941257
Nebraska,XGBoost,1756192.3608695639,2012030.0961909676
Nevada,XGBoost,1791570.4451612898,2496037.5836162046
New Hampshire,LSTM,720284.7810606092,1124608.382529862
New Mexico,LSTM,800704.1793743852,1525092.7016737976
New York,SARIMA,7833079.041296571,10958749.809798399
North Carolina,LSTM,7831440.477272758,9196646.941590501
Ohio,Prophet,10531924.120677426,12523667.174984941
Oklahoma,LSTM,1576561.0173753696,2169012.6888509137
Oregon,LSTM,1854346.9738269807,3306730.4679372534
Pennsylvania,LSTM,4957085.768181817,8066539.692236798
Rhode Island,XGBoost,615438.362692847,754451.5359267108
South Carolina,XGBoost,5472478.797685833,6877985.972394946
South Dakota,XGBoost,433483.575502573,599711.4435035989
Tennessee,XGBoost,6589554.086044888,7821289.684697216
Texas,XGBoost,15904355.885764379,21027523.11337822
Utah,XGBoost,1335423.5831697043,1642213.548698104
Vermont,SARIMA,306136.6795780601,376386.87570702005
Virginia,XGBoost,6595717.899602642,8823248.174942195
Washington,LSTM,4446514.42954545,5870559.867460082
West Virginia,SARIMA,1745846.3432400054,2255952.5607611802
Wisconsin,LSTM,2532775.6030303044,3766477.8949616477
Wyoming,XGBoost,312992.6413043483,436275.67609761516
