State,Forecast_Date,Forecast,Best_Model
Alabama,2023-12-10,205977072.0,XGBoost
Alabama,2023-12-17,201312032.0,XGBoost
Alabama,2023-12-24,197179392.0,XGBoost
Alabama,2023-12-31,196225984.0,XGBoost
Alabama,2024-01-07,192265424.0,XGBoost
Alabama,2024-01-14,192490272.0,XGBoost
Alabama,2024-01-21,192566752.0,XGBoost
Alabama,2024-01-28,188760256.0,XGBoost
Arizona,2023-12-10,230551568.0,LSTM
Arizona,2023-12-17,230382816.0,LSTM
Arizona,2023-12-24,229998768.0,LSTM
Arizona,2023-12-31,229448400.0,LSTM
Arizona,2024-01-07,228767936.0,LSTM
Arizona,2024-01-14,227982416.0,LSTM
Arizona,2024-01-21,227108096.0,LSTM
Arizona,2024-01-28,226155248.0,LSTM
Arkansas,2023-01-22,103759140.34244409,Prophet
Arkansas,2023-01-29,104788115.57749443,Prophet
Arkansas,2023-02-05,104773331.50810443,Prophet
Arkansas,2023-02-12,103478285.73412746,Prophet
Arkansas,2023-02-19,102869577.80266741,Prophet
Arkansas,2023-02-26,104916263.76015308,Prophet
Arkansas,2023-03-05,109063376.76134336,Prophet
Arkansas,2023-03-12,112424090.75000204,Prophet
California,2023-12-10,862594112.0,XGBoost
California,2023-12-17,822886272.0,XGBoost
California,2023-12-24,798692672.0,XGBoost
California,2023-12-31,785547712.0,XGBoost
California,2024-01-07,767373760.0,XGBoost
California,2024-01-14,768684992.0,XGBoost
California,2024-01-21,768617088.0,XGBoost
California,2024-01-28,759069504.0,XGBoost
Colorado,2023-12-10,180212528.0,XGBoost
Colorado,2023-12-17,176627840.0,XGBoost
Colorado,2023-12-24,174913968.0,XGBoost
Colorado,2023-12-31,168454512.0,XGBoost
Colorado,2024-01-07,167159968.0,XGBoost
Colorado,2024-01-14,163537888.0,XGBoost
Colorado,2024-01-21,163071472.0,XGBoost
Colorado,2024-01-28,162763328.0,XGBoost
Connecticut,2023-12-10,94424768.0,LSTM
Connecticut,2023-12-17,94556616.0,LSTM
Connecticut,2023-12-24,94638504.0,LSTM
Connecticut,2023-12-31,94683112.0,LSTM
Connecticut,2024-01-07,94699544.0,LSTM
Connecticut,2024-01-14,94693912.0,LSTM
Connecticut,2024-01-21,94670216.0,LSTM
Connecticut,2024-01-28,94630984.0,LSTM
Florida,2023-12-10,822021184.0,LSTM
Florida,2023-12-17,823850240.0,LSTM
Florida,2023-12-24,825145152.0,LSTM
Florida,2023-12-31,826036608.0,LSTM
Florida,2024-01-07,826615552.0,LSTM
Florida,2024-01-14,826939264.0,LSTM
Florida,2024-01-21,827042432.0,LSTM
Florida,2024-01-28,826944256.0,LSTM
Georgia,2023-01-22,368055004.38129526,Prophet
Georgia,2023-01-29,370816293.24189687,Prophet
Georgia,2023-02-05,368858726.78158057,Prophet
Georgia,2023-02-12,363482728.92605263,Prophet
Georgia,2023-02-19,362923401.98863417,Prophet
Georgia,2023-02-26,373258620.6197953,Prophet
Georgia,2023-03-05,390328165.3292141,Prophet
Georgia,2023-03-12,402660472.12915945,Prophet
Illinois,2023-12-10,337253088.0,LSTM
Illinois,2023-12-17,337412288.0,LSTM
Illinois,2023-12-24,337183264.0,LSTM
Illinois,2023-12-31,336674304.0,LSTM
Illinois,2024-01-07,335959072.0,LSTM
Illinois,2024-01-14,335085728.0,LSTM
Illinois,2024-01-21,334084384.0,LSTM
Illinois,2024-01-28,332973344.0,LSTM
Indiana,2023-12-10,232396032.0,LSTM
Indiana,2023-12-17,232468160.0,LSTM
Indiana,2023-12-24,232467616.0,LSTM
Indiana,2023-12-31,232410512.0,LSTM
Indiana,2024-01-07,232309120.0,LSTM
Indiana,2024-01-14,232172112.0,LSTM
Indiana,2024-01-21,232005456.0,LSTM
Indiana,2024-01-28,231813008.0,LSTM
Iowa,2023-12-10,114509616.0,XGBoost
Iowa,2023-12-17,111780440.0,XGBoost
Iowa,2023-12-24,110223112.0,XGBoost
Iowa,2023-12-31,108181808.0,XGBoost
Iowa,2024-01-07,106297112.0,XGBoost
Iowa,2024-01-14,105569184.0,XGBoost
Iowa,2024-01-21,104163424.0,XGBoost
Iowa,2024-01-28,104509368.0,XGBoost
Kansas,2023-01-22,84258455.6271273,Prophet
Kansas,2023-01-29,85461368.61448793,Prophet
Kansas,2023-02-05,85876977.5604345,Prophet
Kansas,2023-02-12,84995793.0413289,Prophet
Kansas,2023-02-19,84294063.2613665,Prophet
Kansas,2023-02-26,85526292.63263376,Prophet
Kansas,2023-03-05,88559080.10527998,Prophet
Kansas,2023-03-12,91295038.33252943,Prophet
Kentucky,2023-12-10,181907440.0,LSTM
Kentucky,2023-12-17,182010432.0,LSTM
Kentucky,2023-12-24,182086032.0,LSTM
Kentucky,2023-12-31,182138352.0,LSTM
Kentucky,2024-01-07,182171264.0,LSTM
Kentucky,2024-01-14,182187968.0,LSTM
Kentucky,2024-01-21,182190928.0,LSTM
Kentucky,2024-01-28,182181888.0,LSTM
Louisiana,2023-12-10,193952192.0,LSTM
Louisiana,2023-12-17,194172672.0,LSTM
